Best Hiparam,VALUES,,,,
CELL,LSTM,,,,
HIDDEN,100,,,,
DEPTH,4,,,,
DROPOUT,0.1,,,,
BIDIRECTIONAL,TRUE,,,,
LR,0.0001,,,,
MIN_FREQ,1,,,,
EPOCHS,5,,,,
,,,,,
ACCUARACY,PRECISSION,RECALL,F,TEST ERROR,
0.750,0.713,0.822,0.764,0.739,
0.732,0.768,0.650,0.704,0.741,
0.771,0.732,0.841,0.783,0.599,
0.752,0.730,0.785,0.757,0.623,
0.741,0.688,0.864,0.766,0.657,
0.749,0.726,0.793,0.755,0.672,AVARAGE
0.015,0.029,0.085,0.030,0.066,STD
,,,,,
,,,,,
Best Hiparam,VALUES,,,,
CELL,Baseline,,,,
HIDDEN,300,,,,
DEPTH,4,,,,
DROPOUT,0.1,,,,
BIDIRECTIONAL,TRUE,,,,
LR,0.001,,,,
MIN_FREQ,3,,,,
EPOCHS,5,,,,
,,,,,
ACCUARACY,PRECISSION,RECALL,F,TEST ERROR,
0.784,0.747,0.848,0.794,0.531,
0.732,0.755,0.671,0.710,0.612,
0.737,0.788,0.636,0.704,0.550,
0.772,0.763,0.776,0.769,0.604,
0.756,0.692,0.904,0.784,0.659,
0.756,0.749,0.767,0.752,0.591,AVARAGE
0.022,0.035,0.114,0.042,0.051,STD
